,country,date,cases,population,density,size
0,Afghanistan,2020-01-22,0,38928.341,59.6273948472873,652860.0000000002
1,Afghanistan,2020-01-23,0,38928.341,59.6273948472873,652860.0000000002
2,Afghanistan,2020-01-24,0,38928.341,59.6273948472873,652860.0000000002
3,Afghanistan,2020-01-25,0,38928.341,59.6273948472873,652860.0000000002
4,Afghanistan,2020-01-26,0,38928.341,59.6273948472873,652860.0000000002
5,Afghanistan,2020-01-27,0,38928.341,59.6273948472873,652860.0000000002
6,Afghanistan,2020-01-28,0,38928.341,59.6273948472873,652860.0000000002
7,Afghanistan,2020-01-29,0,38928.341,59.6273948472873,652860.0000000002
8,Afghanistan,2020-01-30,0,38928.341,59.6273948472873,652860.0000000002
9,Afghanistan,2020-01-31,0,38928.341,59.6273948472873,652860.0000000002
10,Afghanistan,2020-02-01,0,38928.341,59.6273948472873,652860.0000000002
11,Afghanistan,2020-02-02,0,38928.341,59.6273948472873,652860.0000000002
12,Afghanistan,2020-02-03,0,38928.341,59.6273948472873,652860.0000000002
13,Afghanistan,2020-02-04,0,38928.341,59.6273948472873,652860.0000000002
14,Afghanistan,2020-02-05,0,38928.341,59.6273948472873,652860.0000000002
15,Afghanistan,2020-02-06,0,38928.341,59.6273948472873,652860.0000000002
16,Afghanistan,2020-02-07,0,38928.341,59.6273948472873,652860.0000000002
17,Afghanistan,2020-02-08,0,38928.341,59.6273948472873,652860.0000000002
18,Afghanistan,2020-02-09,0,38928.341,59.6273948472873,652860.0000000002
19,Afghanistan,2020-02-10,0,38928.341,59.6273948472873,652860.0000000002
20,Afghanistan,2020-02-11,0,38928.341,59.6273948472873,652860.0000000002
21,Afghanistan,2020-02-12,0,38928.341,59.6273948472873,652860.0000000002
22,Afghanistan,2020-02-13,0,38928.341,59.6273948472873,652860.0000000002
23,Afghanistan,2020-02-14,0,38928.341,59.6273948472873,652860.0000000002
24,Afghanistan,2020-02-15,0,38928.341,59.6273948472873,652860.0000000002
25,Afghanistan,2020-02-16,0,38928.341,59.6273948472873,652860.0000000002
26,Afghanistan,2020-02-17,0,38928.341,59.6273948472873,652860.0000000002
27,Afghanistan,2020-02-18,0,38928.341,59.6273948472873,652860.0000000002
28,Afghanistan,2020-02-19,0,38928.341,59.6273948472873,652860.0000000002
29,Afghanistan,2020-02-20,0,38928.341,59.6273948472873,652860.0000000002
30,Afghanistan,2020-02-21,0,38928.341,59.6273948472873,652860.0000000002
31,Afghanistan,2020-02-22,0,38928.341,59.6273948472873,652860.0000000002
32,Afghanistan,2020-02-23,0,38928.341,59.6273948472873,652860.0000000002
33,Afghanistan,2020-02-24,1,38928.341,59.6273948472873,652860.0000000002
34,Afghanistan,2020-02-25,1,38928.341,59.6273948472873,652860.0000000002
35,Afghanistan,2020-02-26,1,38928.341,59.6273948472873,652860.0000000002
36,Afghanistan,2020-02-27,1,38928.341,59.6273948472873,652860.0000000002
37,Afghanistan,2020-02-28,1,38928.341,59.6273948472873,652860.0000000002
38,Afghanistan,2020-02-29,1,38928.341,59.6273948472873,652860.0000000002
39,Afghanistan,2020-03-01,1,38928.341,59.6273948472873,652860.0000000002
40,Afghanistan,2020-03-02,1,38928.341,59.6273948472873,652860.0000000002
41,Afghanistan,2020-03-03,1,38928.341,59.6273948472873,652860.0000000002
42,Afghanistan,2020-03-04,1,38928.341,59.6273948472873,652860.0000000002
43,Afghanistan,2020-03-05,1,38928.341,59.6273948472873,652860.0000000002
44,Afghanistan,2020-03-06,1,38928.341,59.6273948472873,652860.0000000002
45,Afghanistan,2020-03-07,1,38928.341,59.6273948472873,652860.0000000002
46,Afghanistan,2020-03-08,4,38928.341,59.6273948472873,652860.0000000002
47,Afghanistan,2020-03-09,4,38928.341,59.6273948472873,652860.0000000002
48,Afghanistan,2020-03-10,5,38928.341,59.6273948472873,652860.0000000002
49,Afghanistan,2020-03-11,7,38928.341,59.6273948472873,652860.0000000002
50,Afghanistan,2020-03-12,7,38928.341,59.6273948472873,652860.0000000002
51,Afghanistan,2020-03-13,7,38928.341,59.6273948472873,652860.0000000002
52,Albania,2020-01-22,0,2877.8,105.029197080292,27399.999999999996
53,Albania,2020-01-23,0,2877.8,105.029197080292,27399.999999999996
54,Albania,2020-01-24,0,2877.8,105.029197080292,27399.999999999996
55,Albania,2020-01-25,0,2877.8,105.029197080292,27399.999999999996
56,Albania,2020-01-26,0,2877.8,105.029197080292,27399.999999999996
57,Albania,2020-01-27,0,2877.8,105.029197080292,27399.999999999996
58,Albania,2020-01-28,0,2877.8,105.029197080292,27399.999999999996
59,Albania,2020-01-29,0,2877.8,105.029197080292,27399.999999999996
60,Albania,2020-01-30,0,2877.8,105.029197080292,27399.999999999996
61,Albania,2020-01-31,0,2877.8,105.029197080292,27399.999999999996
62,Albania,2020-02-01,0,2877.8,105.029197080292,27399.999999999996
63,Albania,2020-02-02,0,2877.8,105.029197080292,27399.999999999996
64,Albania,2020-02-03,0,2877.8,105.029197080292,27399.999999999996
65,Albania,2020-02-04,0,2877.8,105.029197080292,27399.999999999996
66,Albania,2020-02-05,0,2877.8,105.029197080292,27399.999999999996
67,Albania,2020-02-06,0,2877.8,105.029197080292,27399.999999999996
68,Albania,2020-02-07,0,2877.8,105.029197080292,27399.999999999996
69,Albania,2020-02-08,0,2877.8,105.029197080292,27399.999999999996
70,Albania,2020-02-09,0,2877.8,105.029197080292,27399.999999999996
71,Albania,2020-02-10,0,2877.8,105.029197080292,27399.999999999996
72,Albania,2020-02-11,0,2877.8,105.029197080292,27399.999999999996
73,Albania,2020-02-12,0,2877.8,105.029197080292,27399.999999999996
74,Albania,2020-02-13,0,2877.8,105.029197080292,27399.999999999996
75,Albania,2020-02-14,0,2877.8,105.029197080292,27399.999999999996
76,Albania,2020-02-15,0,2877.8,105.029197080292,27399.999999999996
77,Albania,2020-02-16,0,2877.8,105.029197080292,27399.999999999996
78,Albania,2020-02-17,0,2877.8,105.029197080292,27399.999999999996
79,Albania,2020-02-18,0,2877.8,105.029197080292,27399.999999999996
80,Albania,2020-02-19,0,2877.8,105.029197080292,27399.999999999996
81,Albania,2020-02-20,0,2877.8,105.029197080292,27399.999999999996
82,Albania,2020-02-21,0,2877.8,105.029197080292,27399.999999999996
83,Albania,2020-02-22,0,2877.8,105.029197080292,27399.999999999996
84,Albania,2020-02-23,0,2877.8,105.029197080292,27399.999999999996
85,Albania,2020-02-24,0,2877.8,105.029197080292,27399.999999999996
86,Albania,2020-02-25,0,2877.8,105.029197080292,27399.999999999996
87,Albania,2020-02-26,0,2877.8,105.029197080292,27399.999999999996
88,Albania,2020-02-27,0,2877.8,105.029197080292,27399.999999999996
89,Albania,2020-02-28,0,2877.8,105.029197080292,27399.999999999996
90,Albania,2020-02-29,0,2877.8,105.029197080292,27399.999999999996
91,Albania,2020-03-01,0,2877.8,105.029197080292,27399.999999999996
92,Albania,2020-03-02,0,2877.8,105.029197080292,27399.999999999996
93,Albania,2020-03-03,0,2877.8,105.029197080292,27399.999999999996
94,Albania,2020-03-04,0,2877.8,105.029197080292,27399.999999999996
95,Albania,2020-03-05,0,2877.8,105.029197080292,27399.999999999996
96,Albania,2020-03-06,0,2877.8,105.029197080292,27399.999999999996
97,Albania,2020-03-07,0,2877.8,105.029197080292,27399.999999999996
98,Albania,2020-03-08,0,2877.8,105.029197080292,27399.999999999996
99,Albania,2020-03-09,2,2877.8,105.029197080292,27399.999999999996
100,Albania,2020-03-10,10,2877.8,105.029197080292,27399.999999999996
101,Albania,2020-03-11,12,2877.8,105.029197080292,27399.999999999996
102,Albania,2020-03-12,23,2877.8,105.029197080292,27399.999999999996
103,Albania,2020-03-13,33,2877.8,105.029197080292,27399.999999999996
104,Algeria,2020-01-22,0,43851.043,18.4113475862185,2381739.999999997
105,Algeria,2020-01-23,0,43851.043,18.4113475862185,2381739.999999997
106,Algeria,2020-01-24,0,43851.043,18.4113475862185,2381739.999999997
107,Algeria,2020-01-25,0,43851.043,18.4113475862185,2381739.999999997
108,Algeria,2020-01-26,0,43851.043,18.4113475862185,2381739.999999997
109,Algeria,2020-01-27,0,43851.043,18.4113475862185,2381739.999999997
110,Algeria,2020-01-28,0,43851.043,18.4113475862185,2381739.999999997
111,Algeria,2020-01-29,0,43851.043,18.4113475862185,2381739.999999997
112,Algeria,2020-01-30,0,43851.043,18.4113475862185,2381739.999999997
113,Algeria,2020-01-31,0,43851.043,18.4113475862185,2381739.999999997
114,Algeria,2020-02-01,0,43851.043,18.4113475862185,2381739.999999997
115,Algeria,2020-02-02,0,43851.043,18.4113475862185,2381739.999999997
116,Algeria,2020-02-03,0,43851.043,18.4113475862185,2381739.999999997
117,Algeria,2020-02-04,0,43851.043,18.4113475862185,2381739.999999997
118,Algeria,2020-02-05,0,43851.043,18.4113475862185,2381739.999999997
119,Algeria,2020-02-06,0,43851.043,18.4113475862185,2381739.999999997
120,Algeria,2020-02-07,0,43851.043,18.4113475862185,2381739.999999997
121,Algeria,2020-02-08,0,43851.043,18.4113475862185,2381739.999999997
122,Algeria,2020-02-09,0,43851.043,18.4113475862185,2381739.999999997
123,Algeria,2020-02-10,0,43851.043,18.4113475862185,2381739.999999997
124,Algeria,2020-02-11,0,43851.043,18.4113475862185,2381739.999999997
125,Algeria,2020-02-12,0,43851.043,18.4113475862185,2381739.999999997
126,Algeria,2020-02-13,0,43851.043,18.4113475862185,2381739.999999997
127,Algeria,2020-02-14,0,43851.043,18.4113475862185,2381739.999999997
128,Algeria,2020-02-15,0,43851.043,18.4113475862185,2381739.999999997
129,Algeria,2020-02-16,0,43851.043,18.4113475862185,2381739.999999997
