Country,Population,Density,Size
Denmark,5792.203,136.511972660853,42430.00000000006
Estonia,1326.539,31.2936777541873,42390.00000000001
Faroe Islands,48.865,35.0035816618911,1396.000000000001
Finland,5540.718,18.2326433907006,303889.9999999997
Iceland,341.25,3.40399002493766,100249.99999999988
Ireland,4937.796,71.6765277979387,68890.00000000004
Isle of Man,85.032,149.178947368421,570.0000000000002
Latvia,1886.202,30.3247909967846,62199.999999999935
Lithuania,2722.291,43.4357309251045,62674.000000000015
Norway,5421.242,14.8418202525269,365268.0000000003
Sweden,10099.27,24.6119559389774,410340.0000000006
United Kingdom,67886.004,280.601843508453,241929.99999999988
Albania,2877.8,105.029197080292,27399.999999999996
Andorra,77.265,164.393617021277,469.9999999999988
Bosnia and Herzegovina,3280.815,64.3297058823529,51000.00000000004
Croatia,4105.268,73.36075768406,55960.00000000003
Gibraltar,33.691,3369.1,10.0
Greece,10423.056,80.8615671062839,128900.00000000006
Holy See,0.809,1838.63636363636,0.4400000000000009
Italy,60461.828,205.554593050928,294140.00000000023
Malta,441.539,1379.809375,320.0
Montenegro,628.062,46.6960594795539,13450.000000000002
North Macedonia,2083.38,82.6082474226804,25220.000000000004
Portugal,10196.707,111.329915929687,91589.99999999971
San Marino,33.938,565.633333333333,60.00000000000004
Serbia,8737.37,99.9013263206037,87460.00000000001
Slovenia,2078.932,103.224031777557,20140.00000000002
Spain,46754.783,93.7345288692863,498800.0
Austria,9006.4,109.289033964737,82408.9999999999
Belgium,11589.616,382.74821664465,30279.999999999996
France,65273.512,119.208615724025,547557.0000000003
Germany,83783.945,240.371657677301,348559.9999999999
Liechtenstein,38.137,238.35625,160.0
Luxembourg,625.976,241.689575289575,2590.000000000003
Monaco,39.244,26338.255033557,1.4900000000000027
Netherlands,17134.873,508.151631079478,33720.0
Switzerland,8654.618,219.01553800992,39516.00000000001
Bermuda,62.273,1245.46,50.0
Canada,37742.157,4.15044982630469,9093510.00000001
Greenland,56.772,0.138316481910099,410449.99999999907
Saint Pierre and Miquelon,5.795,25.195652173913,230.0000000000004
US,331002.647,36.1853557615153,9147419.999999993
